geoid,total,hispanic,white,black,indian,asian,pacific
040130405024,1180,20,1125,0,0,0,0
040130405061,1805,0,1805,0,0,0,0
040130405062,1230,0,1230,0,0,0,0
040130405063,890,0,890,0,0,0,0
040130405064,1485,15,1420,30,0,0,0
040130405071,1585,30,1495,15,4,40,0
040130405072,2450,0,2420,0,15,0,0
040130405073,785,0,750,40,0,0,0
040130405074,1185,25,1060,15,0,65,0
040130405075,700,20,620,25,15,0,0
040130405121,1710,15,1640,15,10,10,0
040130405131,1210,20,1185,0,0,0,0
040130405132,1710,20,1685,0,0,0,0
040130405141,1835,40,1800,0,0,0,0
040130405142,1240,25,1200,10,0,0,0
040130405151,1760,315,1375,0,20,15,0
040130405152,1950,100,1820,10,20,0,0
040130405161,1490,125,1320,0,0,20,10
040130405162,3085,85,2945,35,0,4,0
040130405171,3185,335,2655,30,35,90,0
040130405172,3400,880,2230,220,0,0,50
040130405181,1575,20,1475,15,4,0,0
040130405182,1205,205,925,75,0,0,0
040130405183,825,0,655,95,0,75,0
040130405184,1610,540,820,75,0,115,0
040130405185,680,75,550,55,0,0,0
040130405191,3390,395,2705,130,15,110,10
040130405192,1335,0,1310,0,0,25,0
040130405193,1015,15,965,15,0,15,0
040130405201,1840,125,1595,0,0,15,10
040130405202,2265,165,1880,85,25,55,0
040130405211,5405,555,4105,260,20,330,0
040130405221,1820,35,1785,0,0,0,0
040130405222,1250,15,1190,30,0,0,0
040130405223,995,15,920,15,0,20,0
040130405231,3000,55,2755,125,0,45,0
040130405241,745,0,710,25,0,10,0
040130405242,645,15,590,30,0,0,0
040130405251,575,50,510,20,0,0,0
040130405252,490,10,460,0,0,20,0
040130405253,500,25,465,10,0,0,0
040130405254,575,40,530,0,0,0,0
040130405255,630,20,610,0,0,0,0
040130405256,380,10,365,0,0,10,0
040130405261,925,10,900,0,0,10,0
040130405262,255,10,240,10,0,0,0
040130405263,845,10,805,10,0,10,0
040130405271,450,0,445,0,0,10,0
040130405272,895,10,875,0,0,0,0
040130405273,2030,275,1570,70,0,60,0
040130405281,650,35,610,0,0,0,0
040130405282,965,30,930,0,0,0,0
040130405283,675,0,655,0,0,20,0
040130405284,795,0,750,30,0,0,0
040130405285,1275,45,1200,30,0,0,0
040130405286,1225,30,1165,0,0,30,0
040130405291,1035,10,1000,0,15,10,0
040130405292,480,0,470,0,0,10,0
040130405293,415,0,415,0,0,0,0
040130405294,1115,10,1065,15,10,0,4
040130405301,1285,60,1050,85,0,60,0
040130405302,1520,330,940,185,0,55,0
040130405311,1040,85,815,50,10,35,0
040130405312,715,30,660,0,0,0,0
040130405313,350,0,320,30,0,0,0
040130405314,1100,75,995,35,0,0,0
040130506031,950,85,830,4,0,0,0
040130506032,2830,550,2145,0,120,0,0
040130506033,325,55,270,0,0,0,0
040130506041,1355,275,1035,0,0,15,0
040130506042,835,220,600,0,0,10,0
040130506051,1065,380,610,75,0,0,0
040130506052,1460,205,915,315,0,0,0
040130506053,3390,720,2460,80,25,85,0
040130506061,2500,720,1545,105,0,20,0
040130506062,2895,720,2040,70,20,35,0
040130506063,1695,380,1315,4,0,0,0
040130506071,580,280,260,35,0,0,0
040130506072,850,285,555,0,10,0,0
040130506073,1345,510,755,30,40,0,0
040130506074,1270,665,380,65,0,145,0
040130506075,980,205,580,140,0,4,0
040130506081,1025,520,240,155,35,45,0
040130506082,1270,475,725,15,15,0,0
040130506083,1315,410,725,4,0,175,0
040130506084,1150,125,740,190,45,25,0
040130506091,1520,625,610,215,10,0,25
040130506092,1145,75,930,120,0,10,0
040130506093,985,460,450,40,0,0,0
040130506101,4740,1815,2050,745,75,45,0
040130506102,2255,965,865,380,45,0,0
040130506103,770,160,605,0,0,0,0
040130506111,2360,955,1055,220,20,20,35
040130506112,1275,600,665,0,0,0,15
040130507011,2110,500,1335,270,0,4,0
040130507012,1805,890,755,120,0,45,0
040130507021,1480,555,790,70,0,25,0
040130507022,750,445,240,10,40,15,0
040130507023,1070,395,580,70,10,4,0
040130608011,495,365,90,15,0,0,0
040130608012,685,475,175,40,0,0,0
040130608013,785,555,215,15,0,0,0
040130608014,1275,45,1195,20,0,10,0
040130608015,675,520,155,0,0,0,0
040130608021,865,190,640,4,0,25,0
040130608022,1030,410,470,95,4,10,30
040130609011,385,115,240,0,0,30,0
040130609012,1400,445,740,50,0,15,0
040130609013,1555,480,720,270,0,15,10
040130609021,550,215,235,100,0,0,0
040130609022,550,480,15,55,0,0,0
040130609023,585,405,185,0,0,0,0
040130609031,530,400,110,0,25,0,0
040130609032,490,440,50,0,0,0,0
040130609033,1330,595,475,250,0,15,0
